id,x,y,z,vx,vy,vz,radius,density,pressure,frame
1652,0.238,3.26,2.437,-0.008,-0.306,-1.961,0.1,988.33,-178.885,50
1651,0.157,3.212,2.444,0.001,-0.302,-1.962,0.1,984.613,-202.864,50
1650,0.064,3.18,2.451,-0.012,-0.32,-1.956,0.1,980.782,-227.016,50
1649,-0.028,3.251,2.478,-0.008,-0.393,-1.96,0.1,1060.378,407.387,50
1648,-0.129,3.285,2.47,-0.019,-0.357,-1.98,0.1,1047.702,285.685,50
1647,-0.218,3.34,2.461,-0.039,-0.371,-1.967,0.1,1055.799,362.412,50
1646,-0.282,3.427,2.449,-0.07,-0.351,-1.969,0.1,1060.027,403.902,50
1645,-0.303,3.531,2.429,-0.036,-0.328,-1.985,0.1,1047.774,286.354,50
1644,-0.299,3.634,2.413,-0.057,-0.312,-1.976,0.1,1055.882,363.213,50
1643,-0.255,3.733,2.399,-0.064,-0.275,-1.984,0.1,1059.563,399.294,50
1642,-0.174,3.802,2.385,-0.019,-0.3,-1.988,0.1,1047.183,280.889,50
1641,-0.081,3.85,2.378,-0.016,-0.268,-1.983,0.1,1056.261,366.891,50
1640,0.028,3.863,2.377,0.008,-0.244,-1.99,0.1,1059.51,398.776,50
1639,0.129,3.827,2.38,0.013,-0.3,-1.988,0.1,1046.43,273.952,50
1638,0.218,3.773,2.391,0.045,-0.279,-1.983,0.1,1056.419,368.435,50
1637,0.282,3.686,2.406,0.069,-0.29,-1.98,0.1,1060.056,404.183,50
1636,0.302,3.582,2.421,0.03,-0.327,-1.984,0.1,1046.373,273.427,50
1635,0.299,3.478,2.439,0.067,-0.339,-1.975,0.1,1056.182,366.131,50
1634,0.254,3.38,2.457,0.059,-0.363,-1.965,0.1,1060.446,408.067,50
1633,0.174,3.31,2.465,0.015,-0.356,-1.98,0.1,1047.062,279.768,50
1632,0.081,3.262,2.474,0.023,-0.387,-1.966,0.1,1055.952,363.895,50
1631,0,3.363,2.443,0.002,-0.302,-1.983,0.1,975.423,-259.859,50
1630,-0.094,3.392,2.432,0.016,-0.297,-1.98,0.1,955.956,-370.431,50
1629,-0.167,3.458,2.427,0.02,-0.315,-1.981,0.1,975.334,-260.395,50
1628,-0.189,3.553,2.406,0.032,-0.324,-1.975,0.1,956.185,-369.208,50
1627,-0.168,3.649,2.396,0.018,-0.337,-1.977,0.1,975.185,-261.294,50
1626,-0.094,3.714,2.379,0.016,-0.351,-1.971,0.1,956.376,-368.186,50
1625,0,3.745,2.38,-0.001,-0.346,-1.976,0.1,975.165,-261.415,50
1624,0.094,3.714,2.379,-0.016,-0.35,-1.971,0.1,956.344,-368.356,50
1623,0.167,3.65,2.396,-0.02,-0.335,-1.978,0.1,975.274,-260.76,50
1622,0.189,3.553,2.406,-0.031,-0.323,-1.976,0.1,956.117,-369.571,50
1621,0.168,3.459,2.427,-0.019,-0.312,-1.981,0.1,975.407,-259.96,50
1620,0.094,3.392,2.432,-0.015,-0.297,-1.98,0.1,955.915,-370.653,50
1619,0.098,3.612,2.419,0.004,-0.316,-1.939,0.1,1047.547,284.247,50
1618,0.098,3.501,2.437,0.004,-0.32,-1.938,0.1,1047.615,284.875,50
1617,0,3.445,2.446,0,-0.323,-1.937,0.1,1047.693,285.605,50
1616,-0.098,3.501,2.437,-0.004,-0.32,-1.937,0.1,1047.684,285.518,50
1615,-0.098,3.612,2.419,-0.004,-0.315,-1.938,0.1,1047.629,285.013,50
